bowler_cluster,batsman_cluster,P0,P1,P2,P3,P4,P6,p_not_out
0.0,0.0,0.43,0.41,0.06,0.0,0.07,0.03,0.5
0.0,1.0,0.36,0.42,0.06,0.0,0.11,0.06,0.79
0.0,2.0,0.36,0.42,0.06,0.0,0.11,0.05,0.74
0.0,3.0,0.37,0.42,0.06,0.0,0.11,0.04,0.72
0.0,4.0,0.39,0.41,0.06,0.0,0.09,0.05,0.56
0.0,5.0,0.37,0.43,0.06,0.01,0.09,0.05,0.68
0.0,6.0,0.39,0.38,0.05,0.0,0.12,0.05,0.73
0.0,7.0,0.41,0.44,0.05,0.0,0.07,0.03,0.6
0.0,8.0,0.55,0.4,0.02,0.0,0.01,0.0,0.43
0.0,9.0,0.41,0.39,0.05,0.0,0.1,0.05,0.7
1.0,0.0,0.56,0.27,0.07,0.0,0.06,0.04,0.49
1.0,1.0,0.35,0.42,0.06,0.0,0.11,0.05,0.96
1.0,2.0,0.38,0.4,0.07,0.0,0.11,0.04,0.94
1.0,3.0,0.38,0.42,0.07,0.0,0.09,0.04,0.92
1.0,4.0,0.39,0.44,0.06,0.0,0.07,0.04,0.73
1.0,5.0,0.43,0.37,0.06,0.0,0.09,0.05,0.85
1.0,6.0,0.41,0.39,0.06,0.0,0.09,0.04,0.91
1.0,7.0,0.46,0.37,0.05,0.02,0.06,0.04,0.68
1.0,8.0,0.55,0.35,0.02,0.03,0.05,0.0,0.45
1.0,9.0,0.41,0.39,0.06,0.0,0.11,0.03,0.8
2.0,0.0,0.48,0.38,0.05,0.0,0.08,0.02,0.53
2.0,1.0,0.39,0.36,0.07,0.01,0.13,0.05,0.94
2.0,2.0,0.41,0.38,0.06,0.0,0.11,0.04,0.92
2.0,3.0,0.41,0.37,0.06,0.01,0.12,0.04,0.9
2.0,4.0,0.44,0.39,0.06,0.0,0.09,0.02,0.71
2.0,5.0,0.42,0.36,0.06,0.0,0.11,0.04,0.84
2.0,6.0,0.45,0.33,0.05,0.0,0.14,0.03,0.92
2.0,7.0,0.43,0.39,0.06,0.0,0.09,0.03,0.66
2.0,8.0,0.51,0.38,0.07,0.0,0.04,0.0,0.41
2.0,9.0,0.41,0.39,0.05,0.0,0.11,0.03,0.79
3.0,0.0,0.39,0.44,0.06,0.01,0.08,0.03,0.56
3.0,1.0,0.35,0.41,0.06,0.0,0.13,0.05,0.73
3.0,2.0,0.35,0.4,0.06,0.0,0.13,0.06,0.68
3.0,3.0,0.38,0.4,0.05,0.01,0.11,0.05,0.69
3.0,4.0,0.44,0.39,0.05,0.01,0.07,0.04,0.59
3.0,5.0,0.37,0.42,0.06,0.0,0.1,0.05,0.66
3.0,6.0,0.41,0.37,0.05,0.0,0.11,0.05,0.68
3.0,7.0,0.39,0.42,0.06,0.0,0.1,0.02,0.59
3.0,8.0,0.32,0.62,0.02,0.0,0.04,0.0,0.39
3.0,9.0,0.46,0.32,0.06,0.0,0.1,0.05,0.47
4.0,0.0,0.46,0.37,0.06,0.0,0.08,0.02,0.51
4.0,1.0,0.37,0.4,0.06,0.0,0.12,0.05,0.89
4.0,2.0,0.38,0.39,0.07,0.0,0.12,0.04,0.87
4.0,3.0,0.39,0.4,0.07,0.0,0.1,0.04,0.8
4.0,4.0,0.4,0.41,0.07,0.0,0.09,0.04,0.69
4.0,5.0,0.39,0.39,0.07,0.0,0.1,0.04,0.75
4.0,6.0,0.42,0.37,0.05,0.0,0.12,0.04,0.81
4.0,7.0,0.42,0.39,0.06,0.0,0.09,0.03,0.6
4.0,8.0,0.49,0.4,0.06,0.01,0.03,0.01,0.49
4.0,9.0,0.42,0.38,0.06,0.01,0.09,0.04,0.69
5.0,0.0,0.47,0.37,0.06,0.0,0.06,0.04,0.55
5.0,1.0,0.38,0.39,0.07,0.0,0.11,0.05,0.92
5.0,2.0,0.39,0.41,0.06,0.0,0.1,0.05,0.92
5.0,3.0,0.39,0.41,0.06,0.0,0.1,0.04,0.84
5.0,4.0,0.4,0.41,0.06,0.01,0.08,0.04,0.73
5.0,5.0,0.4,0.41,0.06,0.0,0.09,0.04,0.83
5.0,6.0,0.4,0.37,0.07,0.0,0.11,0.04,0.9
5.0,7.0,0.43,0.4,0.07,0.01,0.07,0.03,0.68
5.0,8.0,0.62,0.32,0.02,0.0,0.04,0.01,0.37
5.0,9.0,0.41,0.39,0.06,0.0,0.1,0.04,0.77
6.0,0.0,0.46,0.37,0.06,0.0,0.08,0.02,0.65
6.0,1.0,0.43,0.35,0.06,0.0,0.12,0.04,0.94
6.0,2.0,0.38,0.37,0.05,0.0,0.15,0.04,0.94
6.0,3.0,0.43,0.35,0.07,0.0,0.11,0.03,0.91
6.0,4.0,0.44,0.38,0.06,0.0,0.09,0.03,0.7
6.0,5.0,0.4,0.39,0.06,0.0,0.11,0.03,0.85
6.0,6.0,0.45,0.33,0.05,0.0,0.13,0.03,0.93
6.0,7.0,0.42,0.4,0.06,0.0,0.1,0.03,0.68
6.0,8.0,0.54,0.37,0.04,0.0,0.03,0.01,0.52
6.0,9.0,0.39,0.37,0.08,0.01,0.1,0.05,0.81
